Stato,Foreste,Percentuale,Valore,Persone
Austria,3890,46,194,21
Belgio,689,22,136,2
Bulgaria,3896,35,51,22
Croazia,1940,34,116,14
Cipro,173,19,13,0
Cechia,2677,34,341,21
Danimarca,689,16,340,6
Estonia,2438,54,110,6
Finlandia,22409,66,181,21
Francia,17422,32,166,29
Germania,11468,32,107,39
Grecia,3902,30,15,9
Ungheria,2053,22,116,18
Irlanda,799,11,48,3
Italia,9566,32,221,38
Lettonia,3411,53,144,18
Lituania,2202,34,96,9
Lussemburgo,89,34,94,0
Malta,0,1,0,0
Paesi Bassi,369,10,457
Polonia,9464,30,181,72
Portogallo,3341,36,245,15
Romania,6982,29,223,52
Slovacchia,1951,40,256,24
Slovenia,1185,58,228,6
Spagna,18572,37,54,11
Svezia,27980,62,110,41
